Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,101.629997,103.000000,97.459999,98.230003,96.798729,111242100
2018-12-24,97.680000,97.970001,93.980003,94.129997,92.758461,43935200
2018-12-26,95.139999,100.690002,93.959999,100.559998,99.094772,51634800
2018-12-27,99.300003,101.190002,96.400002,101.180000,99.705742,49498500
2018-12-28,102.089996,102.410004,99.519997,100.389999,98.927246,38196300
2018-12-31,101.290001,102.400002,100.440002,101.570000,100.090057,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,99.646614,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,95.980820,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,100.444817,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,100.572922,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,101.302139,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,102.750717,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,102.090485,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,101.302139,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,100.563072,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,103.479950,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,103.844551,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,104.573769,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,106.140602,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,104.140175,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,105.155167,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,104.652603,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,105.608467,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,103.548927,29476700
2019-01-29,104.879997,104.970001,102.169998,102.940002,101.440102,31490500
2019-01-30,104.620003,106.379997,104.330002,106.379997,104.829979,49471900
2019-01-31,103.800003,105.220001,103.180000,104.430000,102.908394,55636400
2019-02-01,103.779999,104.099998,102.349998,102.779999,101.282433,35535700
2019-02-04,102.870003,105.800003,102.769997,105.739998,104.199295,31315100
2019-02-05,106.059998,107.269997,105.959999,107.220001,105.657745,27325400
2019-02-06,107.000000,107.000000,105.529999,106.029999,104.485077,20609800
2019-02-07,105.190002,105.589996,104.290001,105.269997,103.736145,29760700
2019-02-08,104.389999,105.779999,104.260002,105.669998,104.130325,21461100
